,id,title,price,mileage,highlight,overview
0,25133591,2023 Mazda CX-30 Carbon Edition,"$26,998*",11K miles,,"26 city/33 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Gray/Burgundy |  | "
1,24680477,2019 Jaguar F-Pace 25t Premium,Price unavailable*,54K miles,"Single Owner
Reported by AutoCheck® View History Report | New Tires
Replaced 4 tires to meet our standards | Well-Equipped
Panoramic Sunroof, 4WD/AWD, Navigation System, Lane Departure Warning, Parking Sensors","22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Red/Tan |  | "
2,25350540,2023 Mazda CX-5 Carbon Edition,"$30,998*",9K miles,,"4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Blue/Red |  | "
3,24473600,2017 Ford Escape SE,"$15,998*",59K miles,,"23 city/30 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Gray/Gray |  | "
4,24912403,2018 Volkswagen Golf SE,"$22,998*",11K miles,,"24 city/33 hwy | 4-cyl, Turbo Gas, 1.8L | Front Wheel Drive | Automatic | Blue/Black |  | "
5,24999192,2019 Toyota Camry SE,"$24,998*",53K miles,,"28 city/39 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Black/Red |  | "
6,24038486,2019 Buick Cascada Premium,"$20,998*",46K miles,,"21 city/29 hwy | 4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | White/Black |  | "
7,24912727,2019 Subaru Legacy 2.5I Premium,"$19,998*",43K miles,,"25 city/34 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Burgundy/Black |  | "
8,25079412,2018 Mercedes-Benz GLA250,Price unavailable*,19K miles,,"23 city/31 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Brown/Cream |  | "
9,25085016,2013 BMW 328 I,Price unavailable*,67K miles,,"18 city/27 hwy | 6-cyl, Gas, 3.0L | Rear Wheel Drive | Automatic | Black/Red |  | "
10,25008754,2023 Subaru Outback Limited XT,"$33,998*",12K miles,,"22 city/29 hwy | 4-cyl, Turbo Gas, 2.4L | All Wheel Drive | Automatic | Silver/Black |  | "
11,24760266,2021 Ram 1500 Rebel,Price unavailable*,30K miles,,"8-cyl, Gas, 5.7L | Four Wheel Drive | Automatic | 5.5 ft | Gray/Black |  | "
12,25079046,2021 Toyota Tundra SR5,"$34,998*",37K miles,,"8-cyl, Gas, 5.7L | Rear Wheel Drive | Automatic | White/Black |  | "
13,25316118,2019 Jaguar F-Pace 30t Prestige,"$26,998*",48K miles,,"22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Black/Black |  | "
14,25079595,2019 Kia Soul +,"$19,998*",6K miles,,"25 city/30 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Silver/Gray |  | "
15,25306958,2018 Chevrolet Volt LT,"$19,998*",45K miles,,"43 city/42 hwy | 4-cyl, Plug-in Hybrid, 1.5L | Front Wheel Drive | Automatic | Black/Black |  | "
16,25277289,2021 Nissan Kicks SV,"$18,998*",57K miles,,"31 city/36 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | Gray/Black |  | "
17,24915387,2020 Chrysler Pacifica Hybrid Limited,"$33,998*",40K miles,,"6-cyl, Plug-in Hybrid, 3.6L | Front Wheel Drive | Automatic | Burgundy/Black |  | "
18,24863426,2020 Volkswagen Jetta SE,"$18,998*",46K miles,,"30 city/40 hwy | 4-cyl, Turbo Gas, 1.4L | Front Wheel Drive | Automatic | White/Tan |  | "
19,25305711,2017 Nissan Versa S Plus,"$13,998*",50K miles,,"31 city/39 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | Gray/Black |  | "
20,24339647,2016 GMC Yukon SLE,"$26,998*",79K miles,,"16 city/23 hwy | 8-cyl, Gas, 5.3L | Rear Wheel Drive | Automatic | Silver/Black |  | "
21,25153025,2020 Chevrolet Equinox LT,"$23,998*",22K miles,,"26 city/31 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Red/Black |  | "
22,25344511,2020 Honda Accord Touring,Price unavailable*,30K miles,"New Pair of Tires
Replaced 2 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year | Loaded
A/C Seat(s), Automated Cruise Control, Leather Seats, Navigation System, Sunroof(s)","22 city/32 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | White/Black |  | "
23,25010745,2020 Toyota Highlander XLE,"$30,998*",43K miles,,"21 city/29 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
24,22778670,2020 Jeep Gladiator Sport,"$36,998*",38K miles,,"16 city/23 hwy | 6-cyl, Gas, 3.6L | Automatic | Gray/Black |  | "
25,25215659,2018 Chevrolet Silverado 1500 LT,"$27,998*",74K miles,,"16 city/23 hwy | 8-cyl, Gas, 5.3L | Rear Wheel Drive | Automatic | 5.5 ft | White/Black |  | "
26,24972025,2018 Toyota Yaris iA,"$17,998*",25K miles,,"32 city/40 hwy | 4-cyl, Gas, 1.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
27,25317136,2019 BMW M4,Price unavailable*,29K miles,,"6-cyl, , 3.0L | Automatic | Gray/Black |  | "
28,24732832,2018 BMW X3 XDrive30i,"$25,998*",60K miles,,"22 city/29 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Tan |  | "
29,25217670,2020 Lincoln Aviator Reserve,"$37,998*",38K miles,,"18 city/26 hwy | 6-cyl, Turbo Gas, 3.0L | Rear Wheel Drive | Automatic | Red/Black |  | "
30,25344678,2020 Ford F150 XL,Price unavailable*,64K miles,,"19 city/24 hwy | 6-cyl, Turbo Gas, 2.7L | Four Wheel Drive | Automatic | White/Gray |  | "
31,25516123,2022 Hyundai Kona SEL,"$21,998*",18K miles,,"30 city/35 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Red/Gray |  | "
32,25009877,2016 Hyundai Sonata Limited,"$16,998*",55K miles,,"25 city/38 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Black/Cream |  | "
33,24062620,2020 Volkswagen Jetta SEL Premium,Price unavailable*,17K miles,,"30 city/40 hwy | 4-cyl, Turbo Gas, 1.4L | Front Wheel Drive | Automatic | White/Black |  | "
34,25583221,2022 Kia Soul LX,"$18,998*",31K miles,,"29 city/35 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
35,24038871,2020 Toyota Corolla LE,"$20,998*",36K miles,,"30 city/38 hwy | 4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | Blue/Black |  | "
36,24912141,2020 Nissan Pathfinder SV,"$26,998*",24K miles,,"20 city/27 hwy | 6-cyl, Gas, 3.5L | Four Wheel Drive | Automatic | Red/Black |  | "
37,25371422,2023 Lexus GX 460 Luxury,"$61,998*",7K miles,,"8-cyl, Gas, 4.6L | Four Wheel Drive | Automatic | White/Tan |  | "
38,25010237,2018 Toyota Corolla LE,"$18,998*",39K miles,,"28 city/36 hwy | 4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | White/Gray |  | "
39,25277345,2020 Mercedes-Benz GLC300 Coupe,"$39,998*",56K miles,,"21 city/28 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Burgundy |  | "
40,25010272,2019 Toyota Camry SE,"$23,998*",21K miles,,"28 city/39 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
41,24759543,2016 Dodge Dart SXT Sport,"$12,599*",93K miles,,"25 city/36 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Blue/Black |  | "
42,24912017,2013 Dodge Charger SE,Price unavailable*,111K miles,,"18 city/27 hwy | 6-cyl, Gas, 3.6L | Rear Wheel Drive | Automatic | Silver/Black |  | "
43,25307389,2012 Kia Sorento EX,Price unavailable*,109K miles,,"21 city/27 hwy | 4-cyl, Gas, 2.4L | All Wheel Drive | Automatic | Silver/Black |  | "
44,25277360,2018 Jeep Compass Latitude,Price unavailable*,46K miles,,"22 city/31 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Black/Gray |  | "
45,25078959,2013 Dodge Dart Rallye,"$11,998*",107K miles,,"25 city/36 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Blue/Black |  | "
46,25515672,2021 Chrysler Pacifica Touring L,Price unavailable*,12K miles,,"6-cyl, Gas, 3.6L | Front Wheel Drive | Automatic | White/Black |  | "
47,25345087,2020 Toyota Corolla Hybrid LE,Price unavailable*,18K miles,,"53 city/52 hwy | 4-cyl, Hybrid, 1.8L | Front Wheel Drive | Automatic | White/Black |  | "
48,25344286,2018 Chevrolet Colorado LT,"$23,998*",49K miles,,"18 city/25 hwy | 6-cyl, Gas, 3.6L | Rear Wheel Drive | Automatic | 5 ft | Silver/Black |  | "
49,23479983,2013 GMC Terrain Denali,"$14,998*",124K miles,,"22 city/32 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | White/Black |  | "
50,25529921,2023 Kia K5 LXS,Price unavailable*,18K miles,,"4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | Black/Black |  | "
